
"Cancer Site","Cancer Free Age","Probability of Developing Cancer (%) by Age","Risk"
"All Sites","Age 30","Age <br/>10",
"All Sites","Age 30","Age <br/>15",
"All Sites","Age 30","Age <br/>20",
"All Sites","Age 30","Age <br/>25",
"All Sites","Age 30","Age <br/>30",
"All Sites","Age 30","Age <br/>35",0.454
"All Sites","Age 30","Age <br/>40",1.125
"All Sites","Age 30","Age <br/>45",2.155
"All Sites","Age 30","Age <br/>50",3.734
"All Sites","Age 30","Age <br/>55",6.130
"All Sites","Age 30","Age <br/>60",9.463
"All Sites","Age 30","Age <br/>65",13.816
"All Sites","Age 30","Age <br/>70",19.149
"All Sites","Age 30","Age <br/>75",24.718
"All Sites","Age 30","Age <br/>80",29.877
"All Sites","Age 30","Age <br/>85",34.046
"All Sites","Age 30","Age <br/>90",36.809
"All Sites","Age 30","Age <br/>95",38.122
"All Sites","Age 30","Age <br/>95+",38.682
"All Sites","Age 35","Age <br/>5",
"All Sites","Age 35","Age <br/>10",
"All Sites","Age 35","Age <br/>15",
"All Sites","Age 35","Age <br/>20",
"All Sites","Age 35","Age <br/>25",
"All Sites","Age 35","Age <br/>30",
"All Sites","Age 35","Age <br/>35",
"All Sites","Age 35","Age <br/>40",0.678
"All Sites","Age 35","Age <br/>45",1.717
"All Sites","Age 35","Age <br/>50",3.312
"All Sites","Age 35","Age <br/>55",5.731
"All Sites","Age 35","Age <br/>60",9.096
"All Sites","Age 35","Age <br/>65",13.491
"All Sites","Age 35","Age <br/>70",18.875
"All Sites","Age 35","Age <br/>75",24.497
"All Sites","Age 35","Age <br/>80",29.706
"All Sites","Age 35","Age <br/>85",33.915
"All Sites","Age 35","Age <br/>90",36.705
"All Sites","Age 35","Age <br/>95",38.030
"All Sites","Age 35","Age <br/>95+",38.595
"All Sites","Age 40","Age <br/>5",
"All Sites","Age 40","Age <br/>10",
"All Sites","Age 40","Age <br/>15",
"All Sites","Age 40","Age <br/>20",
"All Sites","Age 40","Age <br/>25",
"All Sites","Age 40","Age <br/>30",
"All Sites","Age 40","Age <br/>35",
"All Sites","Age 40","Age <br/>40",
"All Sites","Age 40","Age <br/>45",1.053
"All Sites","Age 40","Age <br/>50",2.667
"All Sites","Age 40","Age <br/>55",5.118
"All Sites","Age 40","Age <br/>60",8.526
"All Sites","Age 40","Age <br/>65",12.978
"All Sites","Age 40","Age <br/>70",18.431
"All Sites","Age 40","Age <br/>75",24.126
"All Sites","Age 40","Age <br/>80",29.401
"All Sites","Age 40","Age <br/>85",33.664
"All Sites","Age 40","Age <br/>90",36.490
"All Sites","Age 40","Age <br/>95",37.832
"All Sites","Age 40","Age <br/>95+",38.405
"All Sites","Age 45","Age <br/>5",
"All Sites","Age 45","Age <br/>10",
"All Sites","Age 45","Age <br/>15",
"All Sites","Age 45","Age <br/>20",
"All Sites","Age 45","Age <br/>25",
"All Sites","Age 45","Age <br/>30",
"All Sites","Age 45","Age <br/>35",
"All Sites","Age 45","Age <br/>40",
"All Sites","Age 45","Age <br/>45",
"All Sites","Age 45","Age <br/>50",1.645
"All Sites","Age 45","Age <br/>55",4.141
"All Sites","Age 45","Age <br/>60",7.613
"All Sites","Age 45","Age <br/>65",12.148
"All Sites","Age 45","Age <br/>70",17.703
"All Sites","Age 45","Age <br/>75",23.504
"All Sites","Age 45","Age <br/>80",28.878
