
"Cancer Site","Cancer Free Age","Probability of Developing Cancer (%) by Age","Risk"
"Lung and Bronchus","Age 45","Age <br/>45",
"Lung and Bronchus","Age 45","Age <br/>50",0.089
"Lung and Bronchus","Age 45","Age <br/>55",0.297
"Lung and Bronchus","Age 45","Age <br/>60",0.677
"Lung and Bronchus","Age 45","Age <br/>65",1.264
"Lung and Bronchus","Age 45","Age <br/>70",2.143
"Lung and Bronchus","Age 45","Age <br/>75",3.293
"Lung and Bronchus","Age 45","Age <br/>80",4.505
"Lung and Bronchus","Age 45","Age <br/>85",5.517
"Lung and Bronchus","Age 45","Age <br/>90",6.136
"Lung and Bronchus","Age 45","Age <br/>95",6.379
"Lung and Bronchus","Age 45","Age <br/>95+",6.466
"Lung and Bronchus","Age 50","Age <br/>5",
"Lung and Bronchus","Age 50","Age <br/>10",
"Lung and Bronchus","Age 50","Age <br/>15",
"Lung and Bronchus","Age 50","Age <br/>20",
"Lung and Bronchus","Age 50","Age <br/>25",
"Lung and Bronchus","Age 50","Age <br/>30",
"Lung and Bronchus","Age 50","Age <br/>35",
"Lung and Bronchus","Age 50","Age <br/>40",
"Lung and Bronchus","Age 50","Age <br/>45",
"Lung and Bronchus","Age 50","Age <br/>50",
"Lung and Bronchus","Age 50","Age <br/>55",0.211
"Lung and Bronchus","Age 50","Age <br/>60",0.597
"Lung and Bronchus","Age 50","Age <br/>65",1.194
"Lung and Bronchus","Age 50","Age <br/>70",2.086
"Lung and Bronchus","Age 50","Age <br/>75",3.254
"Lung and Bronchus","Age 50","Age <br/>80",4.484
"Lung and Bronchus","Age 50","Age <br/>85",5.512
"Lung and Bronchus","Age 50","Age <br/>90",6.140
"Lung and Bronchus","Age 50","Age <br/>95",6.387
"Lung and Bronchus","Age 50","Age <br/>95+",6.475
"Lung and Bronchus","Age 55","Age <br/>5",
"Lung and Bronchus","Age 55","Age <br/>10",
"Lung and Bronchus","Age 55","Age <br/>15",
"Lung and Bronchus","Age 55","Age <br/>20",
"Lung and Bronchus","Age 55","Age <br/>25",
"Lung and Bronchus","Age 55","Age <br/>30",
"Lung and Bronchus","Age 55","Age <br/>35",
"Lung and Bronchus","Age 55","Age <br/>40",
"Lung and Bronchus","Age 55","Age <br/>45",
"Lung and Bronchus","Age 55","Age <br/>50",
"Lung and Bronchus","Age 55","Age <br/>55",
"Lung and Bronchus","Age 55","Age <br/>60",0.396
"Lung and Bronchus","Age 55","Age <br/>65",1.007
"Lung and Bronchus","Age 55","Age <br/>70",1.921
"Lung and Bronchus","Age 55","Age <br/>75",3.117
"Lung and Bronchus","Age 55","Age <br/>80",4.377
"Lung and Bronchus","Age 55","Age <br/>85",5.430
"Lung and Bronchus","Age 55","Age <br/>90",6.073
"Lung and Bronchus","Age 55","Age <br/>95",6.326
"Lung and Bronchus","Age 55","Age <br/>95+",6.417
"Lung and Bronchus","Age 60","Age <br/>5",
"Lung and Bronchus","Age 60","Age <br/>10",
"Lung and Bronchus","Age 60","Age <br/>15",
"Lung and Bronchus","Age 60","Age <br/>20",
"Lung and Bronchus","Age 60","Age <br/>25",
"Lung and Bronchus","Age 60","Age <br/>30",
"Lung and Bronchus","Age 60","Age <br/>35",
"Lung and Bronchus","Age 60","Age <br/>40",
"Lung and Bronchus","Age 60","Age <br/>45",
"Lung and Bronchus","Age 60","Age <br/>50",
"Lung and Bronchus","Age 60","Age <br/>55",
"Lung and Bronchus","Age 60","Age <br/>60",
"Lung and Bronchus","Age 60","Age <br/>65",0.634
"Lung and Bronchus","Age 60","Age <br/>70",1.581
"Lung and Bronchus","Age 60","Age <br/>75",2.821
"Lung and Bronchus","Age 60","Age <br/>80",4.127
"Lung and Bronchus","Age 60","Age <br/>85",5.219
"Lung and Bronchus","Age 60","Age <br/>90",5.886
"Lung and Bronchus","Age 60","Age <br/>95",6.149
"Lung and Bronchus","Age 60","Age <br/>95+",6.242
"Lung and Bronchus","Age 65","Age <br/>5",
"Lung and Bronchus","Age 65","Age <br/>10",
"Lung and Bronchus","Age 65","Age <br/>15",
"Lung and Bronchus","Age 65","Age <br/>20",
"Lung and Bronchus","Age 65","Age <br/>25",
"Lung and Bronchus","Age 65","Age <br/>30",
"Lung and Bronchus","Age 65","Age <br/>35",
"Lung and Bronchus","Age 65","Age <br/>40",
"Lung and Bronchus","Age 65","Age <br/>45",
"Lung and Bronchus","Age 65","Age <br/>50",
"Lung and Bronchus","Age 65","Age <br/>55",
"Lung and Bronchus","Age 65","Age <br/>60",
"Lung and Bronchus","Age 65","Age <br/>65",
"Lung and Bronchus","Age 65","Age <br/>70",0.998
"Lung and Bronchus","Age 65","Age <br/>75",2.304
"Lung and Bronchus","Age 65","Age <br/>80",3.680
"Lung and Bronchus","Age 65","Age <br/>85",4.830
"Lung and Bronchus","Age 65","Age <br/>90",5.532
"Lung and Bronchus","Age 65","Age <br/>95",5.808
"Lung and Bronchus","Age 65","Age <br/>95+",5.907
"Lung and Bronchus","Age 70","Age <br/>5",
"Lung and Bronchus","Age 70","Age <br/>10",
"Lung and Bronchus","Age 70","Age <br/>15",
"Lung and Bronchus","Age 70","Age <br/>20",
"Lung and Bronchus","Age 70","Age <br/>25",
"Lung and Bronchus","Age 70","Age <br/>30",
"Lung and Bronchus","Age 70","Age <br/>35",
"Lung and Bronchus","Age 70","Age <br/>40",
"Lung and Bronchus","Age 70","Age <br/>45",
"Lung and Bronchus","Age 70","Age <br/>50",
"Lung and Bronchus","Age 70","Age <br/>55",
"Lung and Bronchus","Age 70","Age <br/>60",
"Lung and Bronchus","Age 70","Age <br/>65",
"Lung and Bronchus","Age 70","Age <br/>70",
"Lung and Bronchus","Age 70","Age <br/>75",1.407
"Lung and Bronchus","Age 70","Age <br/>80",2.890
"Lung and Bronchus","Age 70","Age <br/>85",4.129
"Lung and Bronchus","Age 70","Age <br/>90",4.886
"Lung and Bronchus","Age 70","Age <br/>95",5.183
"Lung and Bronchus","Age 70","Age <br/>95+",5.290
"Lung and Bronchus","Age 75","Age <br/>5",
"Lung and Bronchus","Age 75","Age <br/>10",
"Lung and Bronchus","Age 75","Age <br/>15",
"Lung and Bronchus","Age 75","Age <br/>20",
"Lung and Bronchus","Age 75","Age <br/>25",
"Lung and Bronchus","Age 75","Age <br/>30",
"Lung and Bronchus","Age 75","Age <br/>35",
"Lung and Bronchus","Age 75","Age <br/>40",
"Lung and Bronchus","Age 75","Age <br/>45",
"Lung and Bronchus","Age 75","Age <br/>50",
"Lung and Bronchus","Age 75","Age <br/>55",
"Lung and Bronchus","Age 75","Age <br/>60",
"Lung and Bronchus","Age 75","Age <br/>65",
"Lung and Bronchus","Age 75","Age <br/>70",
"Lung and Bronchus","Age 75","Age <br/>75",
"Lung and Bronchus","Age 75","Age <br/>80",1.663
"Lung and Bronchus","Age 75","Age <br/>85",3.053
"Lung and Bronchus","Age 75","Age <br/>90",3.902
"Lung and Bronchus","Age 75","Age <br/>95",4.236
"Lung and Bronchus","Age 75","Age <br/>95+",4.355
"Lung and Bronchus","Age 80","Age <br/>5",
"Lung and Bronchus","Age 80","Age <br/>10",
"Lung and Bronchus","Age 80","Age <br/>15",
"Lung and Bronchus","Age 80","Age <br/>20",
"Lung and Bronchus","Age 80","Age <br/>25",
"Lung and Bronchus","Age 80","Age <br/>30",
"Lung and Bronchus","Age 80","Age <br/>35",
"Lung and Bronchus","Age 80","Age <br/>40",
"Lung and Bronchus","Age 80","Age <br/>45",
"Lung and Bronchus","Age 80","Age <br/>50",
"Lung and Bronchus","Age 80","Age <br/>55",
"Lung and Bronchus","Age 80","Age <br/>60",
"Lung and Bronchus","Age 80","Age <br/>65",
"Lung and Bronchus","Age 80","Age <br/>70",
"Lung and Bronchus","Age 80","Age <br/>75",
"Lung and Bronchus","Age 80","Age <br/>80",
"Lung and Bronchus","Age 80","Age <br/>85",1.667
"Lung and Bronchus","Age 80","Age <br/>90",2.686
"Lung and Bronchus","Age 80","Age <br/>95",3.086
"Lung and Bronchus","Age 80","Age <br/>95+",3.230
"Lung and Bronchus","Age 85","Age <br/>5",
"Lung and Bronchus","Age 85","Age <br/>10",
"Lung and Bronchus","Age 85","Age <br/>15",
"Lung and Bronchus","Age 85","Age <br/>20",
"Lung and Bronchus","Age 85","Age <br/>25",
"Lung and Bronchus","Age 85","Age <br/>30",
"Lung and Bronchus","Age 85","Age <br/>35",
"Lung and Bronchus","Age 85","Age <br/>40",
"Lung and Bronchus","Age 85","Age <br/>45",
"Lung and Bronchus","Age 85","Age <br/>50",
"Lung and Bronchus","Age 85","Age <br/>55",
"Lung and Bronchus","Age 85","Age <br/>60",
"Lung and Bronchus","Age 85","Age <br/>65",
"Lung and Bronchus","Age 85","Age <br/>70",
"Lung and Bronchus","Age 85","Age <br/>75",
"Lung and Bronchus","Age 85","Age <br/>80",
"Lung and Bronchus","Age 85","Age <br/>85",
"Lung and Bronchus","Age 85","Age <br/>90",1.377
"Lung and Bronchus","Age 85","Age <br/>95",1.918
"Lung and Bronchus","Age 85","Age <br/>95+",2.112
"Lung and Bronchus","Age 90","Age <br/>5",
"Lung and Bronchus","Age 90","Age <br/>10",
"Lung and Bronchus","Age 90","Age <br/>15",
"Lung and Bronchus","Age 90","Age <br/>20",
"Lung and Bronchus","Age 90","Age <br/>25",
"Lung and Bronchus","Age 90","Age <br/>30",
"Lung and Bronchus","Age 90","Age <br/>35",
"Lung and Bronchus","Age 90","Age <br/>40",
"Lung and Bronchus","Age 90","Age <br/>45",
"Lung and Bronchus","Age 90","Age <br/>50",
"Lung and Bronchus","Age 90","Age <br/>55",
"Lung and Bronchus","Age 90","Age <br/>60",
"Lung and Bronchus","Age 90","Age <br/>65",
"Lung and Bronchus","Age 90","Age <br/>70",
"Lung and Bronchus","Age 90","Age <br/>75",
"Lung and Bronchus","Age 90","Age <br/>80",
"Lung and Bronchus","Age 90","Age <br/>85",
"Lung and Bronchus","Age 90","Age <br/>90",
"Lung and Bronchus","Age 90","Age <br/>95",0.900
"Lung and Bronchus","Age 90","Age <br/>95+",1.223
"Lung and Bronchus","Age 95","Age <br/>5",
"Lung and Bronchus","Age 95","Age <br/>10",
"Lung and Bronchus","Age 95","Age <br/>15",
"Lung and Bronchus","Age 95","Age <br/>20",
"Lung and Bronchus","Age 95","Age <br/>25",
"Lung and Bronchus","Age 95","Age <br/>30",
"Lung and Bronchus","Age 95","Age <br/>35",
"Lung and Bronchus","Age 95","Age <br/>40",
"Lung and Bronchus","Age 95","Age <br/>45",
"Lung and Bronchus","Age 95","Age <br/>50",
"Lung and Bronchus","Age 95","Age <br/>55",
"Lung and Bronchus","Age 95","Age <br/>60",
"Lung and Bronchus","Age 95","Age <br/>65",
"Lung and Bronchus","Age 95","Age <br/>70",
"Lung and Bronchus","Age 95","Age <br/>75",
"Lung and Bronchus","Age 95","Age <br/>80",
"Lung and Bronchus","Age 95","Age <br/>85",
"Lung and Bronchus","Age 95","Age <br/>90",
"Lung and Bronchus","Age 95","Age <br/>95",
"Lung and Bronchus","Age 95","Age <br/>95+",0.739
